"nation","year_to_survive_to","deferral_reduction","idu_type","deferral_effect_year","calibration_prevalence_1991","donor_non_clearance","contamination_constant","contamination_constant_prop","units_per_donation_scenario","trans_survival_years","hepc_survival_hazard","survivor_non_clearance","trans_survival_hazard_scenario","total_infected","total_chronic_infected","total_chronic_survived_transfusion","chronic_infected_survived_long_hepc_trans","died_trans_hcv","excess_deaths_hcv"
"England",2019,0.33,"ever",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"basic",16326,13388,4948,2010,11377,0
"England",2019,0.33,"ever",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"basic",17584,14419,5329,2139,12280,0
"England",2019,0.33,"ever",1986,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"basic",20101,16483,6092,2397,14085,0
"England",2019,0.67,"ever",1985,0.066,0.74,0,0,"NBTSS",10,1,0.82,"age",22763,18666,6899,2628,16038,0
"England",2019,0.67,"ever",1985,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"age",22098,18120,6697,2550,15570,0
"England",2019,0.67,"ever",1985,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"age",21432,17574,6495,2472,15102,0
"England",2019,0.67,"ever",1985,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"age",20101,16483,6092,2317,14166,0
"England",2019,0.67,"ever",1986,0.066,0.74,0,0,"NBTSS",10,1,0.82,"age",24358,19973,7382,2826,17147,0
"England",2019,0.67,"ever",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"age",23294,19101,7060,2699,16402,0
"England",2019,0.67,"ever",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"age",22229,18228,6737,2572,15657,0
"England",2019,0.67,"ever",1986,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"age",20101,16483,6092,2317,14166,0
"England",2019,0.33,"ever",1985,0.066,0.74,0,0,"NBTSS",10,1,0.82,"age",14683,12040,4450,1770,10270,0
"England",2019,0.33,"ever",1985,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"age",16038,13151,4861,1907,11244,0
"England",2019,0.33,"ever",1985,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"age",17392,14261,5271,2043,12218,0
"England",2019,0.33,"ever",1985,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"age",20101,16483,6092,2317,14166,0
"England",2019,0.33,"ever",1986,0.066,0.74,0,0,"NBTSS",10,1,0.82,"age",15068,12356,4567,1818,10538,0
