"transfusion_year","sex","transfusion_age","survival_time","susceptible","transfusion_age_midpoint","variable","probability","expected_survivors","expected_deaths","observed_deaths","obs_to_exp"
1999,"female","50 - 59",15,383,55,"survival_10_15",0.937160727262631,358.932558541588,24.0674414584123,54,2.24369508048083
1999,"female","60 - 69",15,532,65,"survival_10_15",0.831133745509015,442.163152610796,89.836847389204,121,1.34688608868682
1999,"female","70 - 79",15,512,75,"survival_10_15",0.561115380144889,287.291074634183,224.708925365817,224,0.996845139263326
1999,"female","80+",15,155,90,"survival_10_15",NA,NA,NA,61,NA
1999,"male","0",15,175,0,"survival_10_15",0.999452116740949,174.904120429666,0.0958795703339206,0,0
1999,"male","1 - 9",15,124,5,"survival_10_15",0.997770911009858,123.723592965222,0.276407034777606,1,3.61785292767455
1999,"male","10 - 19",15,75,15,"survival_10_15",0.994351800459706,74.576385034478,0.423614965522049,1,2.36063425844182
1999,"male","20 - 29",15,105,25,"survival_10_15",0.990474459045978,103.999818199828,1.00018180017231,9,8.99836409585683
1999,"male","30 - 39",15,145,35,"survival_10_15",0.983221508087274,142.567118672655,2.43288132734526,12,4.93242307593125
1999,"male","40 - 49",15,235,45,"survival_10_15",0.96076574460003,225.779949981007,9.22005001899296,29,3.1453191620719
1999,"male","50 - 59",15,402,55,"survival_10_15",0.906676389929433,364.483908751632,37.516091248368,67,1.78590033690982
1999,"male","60 - 69",15,570,65,"survival_10_15",0.772548347552561,440.35255810496,129.64744189504,164,1.26496903913284
1999,"male","70 - 79",15,382,75,"survival_10_15",0.474891448554891,181.408533347968,200.591466652032,176,0.877405220359195
1999,"male","80+",15,63,90,"survival_10_15",NA,NA,NA,19,NA
1999,"female","0",20,115,0,"survival_15_20",0.998990403293215,114.88389637872,0.116103621280274,0,0
1999,"female","1 - 9",20,84,5,"survival_15_20",0.998581797872583,83.880871021297,0.119128978703017,1,8.39426318337666
1999,"female","10 - 19",20,132,15,"survival_15_20",0.996575691959089,131.5479913386,0.452008661400242,4,8.84938794670154
1999,"female","20 - 29",20,334,25,"survival_15_20",0.992234084287607,331.406184152061,2.59381584793925,4,1.54212952441398
1999,"female","30 - 39",20,403,35,"survival_15_20",0.983574706029938,396.380606530065,6.61939346993501,10,1.51071243089258
1999,"female","40 - 49",20,263,45,"survival_15_20",0.962636040087165,253.173278542924,9.82672145707562,25,2.54408350834032
1999,"female","50 - 59",20,325,55,"survival_15_20",0.904267796607786,293.88703389753,31.1129661024696,45,1.44634233366867
1999,"female","60 - 69",20,408,65,"survival_15_20",0.735466750791275,300.07043432284,107.92956567716,137,1.26934634768934
1999,"female","70 - 79",20,288,75,"survival_15_20",0.359356124101103,103.494563741118,184.505436258882,157,0.850923437181065
1999,"female","80+",20,95,90,"survival_15_20",NA,NA,NA,16,NA
1999,"male","0",20,174,0,"survival_15_20",0.998152305191254,173.678501103278,0.321498896721806,1,3.11043058062281
1999,"male","1 - 9",20,123,5,"survival_15_20",0.996677394280053,122.591319496447,0.408680503553484,3,7.34069762054943
1999,"male","10 - 19",20,73,15,"survival_15_20",0.993079135244472,72.4947768728465,0.505223127153542,2,3.95864696707002
1999,"male","20 - 29",20,94,25,"survival_15_20",0.985657722255145,92.6518258919836,1.34817410801637,4,2.96697583510589
1999,"male","30 - 39",20,132,35,"survival_15_20",0.975671324877085,128.788614883775,3.21138511622479,2,0.622784227869606
1999,"male","40 - 49",20,204,45,"survival_15_20",0.944653983752169,192.709412685442,11.2905873145575,23,2.0370950916207
1999,"male","50 - 59",20,330,55,"survival_15_20",0.864153373891082,285.170613384057,44.829386615943,72,1.60608934083417
1999,"male","60 - 69",20,403,65,"survival_15_20",0.661967725104409,266.772993217077,136.227006782923,139,1.0203556789697
1999,"male","70 - 79",20,203,75,"survival_15_20",0.305828501440601,62.083185792442,140.916814207558,106,0.752216835131338
1999,"male","80+",20,44,90,"survival_15_20",NA,NA,NA,3,NA
2004,"female","0",5,103,0,"survival_0_5",0.994668013158817,102.450805355358,0.549194644641844,5,9.10424027033392
2004,"female","1 - 9",5,47,5,"survival_0_5",0.99958806507409,46.9806390584822,0.0193609415177676,10,516.503806946733
2004,"female","10 - 19",5,121,15,"survival_0_5",0.998434973879026,120.810631839362,0.189368160637855,18,95.0529378295169
2004,"female","20 - 29",5,256,25,"survival_0_5",0.998104406574815,255.514728083153,0.485271916847353,13,26.7891043117776
2004,"female","30 - 39",5,403,35,"survival_0_5",0.994981059960568,400.977367164109,2.0226328358911,45,22.2482297337839
2004,"female","40 - 49",5,447,45,"survival_0_5",0.98808106435393,441.672235766207,5.32776423379329,144,27.0282230370908
2004,"female","50 - 59",5,662,55,"survival_0_5",0.971838982126637,643.357406167834,18.6425938321663,282,15.1266504295894
2004,"female","60 - 69",5,1156,65,"survival_0_5",0.92798163309427,1072.74676785698,83.253232143024,565,6.78652330313572
2004,"female","70 - 79",5,1883,75,"survival_0_5",0.810430908862806,1526.04140138866,356.958598611336,1064,2.98073783385312
2004,"female","80+",5,2250,90,"survival_0_5",0.335142497747599,754.070619932098,1495.9293800679,1665,1.11302045550066
2004,"male","0",5,152,0,"survival_0_5",0.993349146018856,150.989070194866,1.01092980513388,12,11.870260367297
2004,"male","1 - 9",5,60,5,"survival_0_5",0.999448119228449,59.9668871537069,0.0331128462930579,10,301.997596687921
2004,"male","10 - 19",5,80,15,"survival_0_5",0.996510671887672,79.7208537510137,0.279146248986251,15,53.7352733718403
2004,"male","20 - 29",5,114,25,"survival_0_5",0.994072047492483,113.324213414143,0.67578658585694,22,32.5546562486182
2004,"male","30 - 39",5,176,35,"survival_0_5",0.989718462830531,174.190449458173,1.80955054182655,46,25.4206770890012
2004,"male","40 - 49",5,336,45,"survival_0_5",0.981335794123127,329.728826825371,6.27117317462933,129,20.5703137846492
2004,"male","50 - 59",5,720,55,"survival_0_5",0.956419727787509,688.622204007007,31.3777959929935,362,11.5368204981903
